DB,Metric,m,ef_search,Recall_10,p50_ms,RAM_GB
pgvector,L2,16,64,97.41,4.53,0.21
pgvector,L2,16,128,99.32,7.29,0.21
pgvector,L2,16,256,99.82,12.43,0.21
pgvector,L2,24,64,98.69,5.82,0.2
pgvector,L2,24,128,99.68,9.61,0.21
pgvector,L2,24,256,99.91,16.03,0.21
pgvector,L2,32,64,99.07,6.95,0.52
pgvector,L2,32,128,99.77,11.41,0.52
pgvector,L2,32,256,99.93,19.2,0.52
