DB,Metric,m,ef_search,Recall_10,p50_ms,RAM_GB
ChromaDB,Cosine,16,64,97.94,6.61,1.03
ChromaDB,Cosine,16,128,97.94,2.59,1.03
ChromaDB,Cosine,16,256,97.94,2.73,1.03
ChromaDB,Cosine,24,64,98.84,4.65,1.09
ChromaDB,Cosine,24,128,98.84,4.74,1.09
ChromaDB,Cosine,24,256,98.84,2.82,1.09
ChromaDB,Cosine,32,64,99.1,4.94,1.16
ChromaDB,Cosine,32,128,99.1,3.99,1.16
ChromaDB,Cosine,32,256,99.1,4.53,1.16
