Scale,Shapiro_Q,Shapiro_P,Shapiro_C,Welch_p_pgvector,Welch_p_chromadb,MW_p_pgvector,MW_p_chromadb
100,< 0.001,0.758,0.017,< 0.001,< 0.001,< 0.001,0.002
"1,000",0.001,0.215,0.044,< 0.001,0.001,< 0.001,0.003
"10,000",< 0.001,0.964,0.091,< 0.001,< 0.001,< 0.001,0.002
"100,000",< 0.001,0.874,0.074,< 0.001,0.144,< 0.001,0.910
"1,000,000",< 0.001,0.009,0.128,0.904,0.442,0.003,0.003
