Motor,Metrica,p10,p25,p50,p75,p90,p95,p99,p99_9,Skewness,Kurtosis
ChromaDB,l2,2.2003,2.3262,2.5047,2.6678,2.7958,2.8692,2.9973,3.2213,68.2896,6009.9242
ChromaDB,cosine,2.6155,4.4055,4.6126,4.7509,4.8798,4.9662,5.1975,5.4317,7.7598,390.0615
