Motor,Metrica,p10,p25,p50,p75,p90,p95,p99,p99_9,Skewness,Kurtosis
pgvector,l2,2.9493,3.7335,4.3282,4.7157,4.9917,5.1417,5.4326,5.7530,-1.0372,0.9328
pgvector,cosine,3.0144,3.8156,4.4256,4.8104,5.0839,5.2329,5.5120,5.8616,-1.0427,0.8807
