Motor,Metrica,p10,p25,p50,p75,p90,p95,p99,p99_9,Skewness,Kurtosis
Qdrant,l2,1.7339,1.8108,1.8879,1.9705,2.0479,2.0963,2.1983,2.3243,88.3773,8478.0411
Qdrant,cosine,1.6862,1.7497,1.8158,1.9000,1.9901,2.0396,2.1289,2.2507,89.3580,8602.9868
