DB,Metric,Batch_Size,Time_s,Throughput_vec_s
Qdrant,L2,100,19.09,5240.0
Qdrant,L2,1000,4.87,20550.0
Qdrant,L2,10000,5.05,19792.0
Qdrant,L2,50000,4.93,20263.0
