DB,Metric,Batch_Size,Time_s,Throughput_vec_s
Qdrant,Cosine,100,20.48,4882.0
Qdrant,Cosine,1000,5.11,19554.0
Qdrant,Cosine,10000,5.74,17435.0
Qdrant,Cosine,50000,5.41,18484.0
